date,total_visits,total_devices,total_visits_per_device,mean_7,year,julian_day
2019-07-07,11459,17901277,0.000640121930966154,0.000820457589114947,2019,188
2019-07-08,12943,18175006,0.000712131814426911,0.000818583494142636,2019,189
2019-07-09,13535,17644353,0.000767100952922445,0.000817181068974726,2019,190
2019-07-10,13904,17931722,0.000775385654540038,0.000796095446528687,2019,191
2019-07-11,14473,18286389,0.00079146298375256,0.000798904745322041,2019,192
2019-07-12,16348,17605954,0.00092854951228431,0.000793088796635866,2019,193
2019-07-13,15682,17378049,0.000902402795618772,0.000788165092073027,2019,194
2019-07-14,11904,17033424,0.00069886125067984,0.000796556423460697,2019,195
2019-07-15,13021,17757879,0.000733251983527988,0.000799573590475136,2019,196
2019-07-16,14019,17997889,0.000778924683889316,0.000801262694898975,2019,197
2019-07-17,14485,18494877,0.000783189853060391,0.000802377580401882,2019,198
2019-07-18,14887,18331634,0.000812093455498839,0.000805324790651351,2019,199
2019-07-19,16743,17773171,0.000942037861448585,0.000807251697674818,2019,200
2019-07-20,16792,17192555,0.000976701834020598,0.000817865846017936,2019,201
2019-07-21,12603,17770355,0.000709214869370927,0.000819344934402378,2019,202
2019-07-22,13250,17878227,0.000741124944884076,0.000820469643167533,2019,203
2019-07-23,13774,17955312,0.000767126742214226,0.000818784222928234,2019,204
2019-07-24,14063,17199683,0.000817631348205662,0.000823704436520416,2019,205
2019-07-25,14754,16759000,0.00088036279014261,0.000833457198612383,2019,206
2019-07-26,17290,16710438,0.00103468263369279,0.000846692166075841,2019,207
2019-07-27,17192,16216460,0.00106015739563382,0.000858614389163444,2019,208
2019-07-28,12180,16187384,0.000752437824419313,0.000864789097027499,2019,209
2019-07-29,12965,16929674,0.000765815100751497,0.000868316262151416,2019,210
2019-07-30,15399,16797287,0.000916755187906237,0.000889691754393132,2019,211
2019-07-31,12144,16983656,0.000715040389419098,0.000875035903137909,2019,212
2019-08-01,15088,18067522,0.000835089615499015,0.000868568306760252,2019,213
2019-08-02,17435,17918804,0.000973000206933454,0.000859756531508919,2019,214
2019-08-03,17219,17396435,0.000989800496481032,0.000849705545915664,2019,215
2019-08-04,12384,17275124,0.000716868949826351,0.000844624278116669,2019,216
2019-08-05,13030,17802021,0.000731939368007711,0.0008397848877247,2019,217
2019-08-06,13331,18095941,0.000736684541577584,0.000814060509677749,2019,218
2019-08-07,13796,17695034,0.000779653771787045,0.00082329099287317,2019,219
2019-08-08,14262,17276696,0.000825505061847474,0.00082192177092295,2019,220
2019-08-09,17336,19815205,0.000874883706729252,0.000807905128036635,2019,221
2019-08-10,16770,18885866,0.000887965635253369,0.000793357290718398,2019,222
2019-08-11,12714,19041364,0.000667704267404373,0.000786333764658115,2019,223
2019-08-12,13458,19778360,0.000680440643208031,0.000778976803972447,2019,224
2019-08-13,13214,19524761,0.000676781651770283,0.000770419248285689,2019,225
2019-08-14,13905,20084351,0.000692330063341355,0.000757944432793448,2019,226
2019-08-15,14343,20076495,0.000714417531546219,0.000742074785607554,2019,227
2019-08-16,17256,20269429,0.000851331332520517,0.000738710160720592,2019,228
2019-08-17,17770,20068962,0.000885446890576603,0.000738350340052483,2019,229
2019-08-18,12619,19692155,0.000640813562558288,0.000734508810788756,2019,230
2019-08-19,14232,20252039,0.000702744054561617,0.000737695012410697,2019,231
2019-08-20,14633,20147828,0.000726281760991805,0.0007447664565852,2019,232
2019-08-21,13529,20368352,0.000664216722099068,0.000740750264979159,2019,233
2019-08-22,14174,20114786,0.000704655769144151,0.00073935572749315,2019,234
2019-08-23,16115,20046673,0.000803874039348075,0.000732576114182801,2019,235
2019-08-24,16131,19453571,0.000829205085277145,0.000724541570568593,2019,236
2019-08-25,11278,19273145,0.000585166562073808,0.00071659199907081,2019,237
2019-08-26,12423,20192001,0.000615243630386112,0.000704091938474309,2019,238
2019-08-27,12937,20230870,0.000639468297705437,0.000691690015147685,2019,239
2019-08-28,13155,20057413,0.000655867234722643,0.000690497231236767,2019,240
2019-08-29,14178,19940741,0.000711006677234311,0.000691404503821076,2019,241
2019-08-30,17324,19918313,0.000869752373105092,0.000700815694357793,2019,242
2019-08-31,17358,19067936,0.000910324011995845,0.000712404112460464,2019,243
2019-09-01,13412,20631970,0.000650059107298043,0.000721674476063926,2019,244
2019-09-02,11011,21542012,0.00051114074209967,0.000706802634880149,2019,245
2019-09-03,12989,22564774,0.000575631734667495,0.000697683125874729,2019,246
2019-09-04,13125,22734693,0.00057731151240969,0.000686460879830021,2019,247
2019-09-05,13229,22053300,0.000599864872830824,0.000670583479200951,2019,248
2019-09-06,15917,21856018,0.000728266237701671,0.00065037117414332,2019,249
2019-09-07,16003,21552469,0.000742513537544121,0.000626398249221645,2019,250
2019-09-08,11406,21610656,0.000527795176601765,0.000608931973407891,2019,251
2019-09-09,12936,22133445,0.000584454882644794,0.000619405422057194,2019,252
2019-09-10,13883,22215961,0.00062491107181904,0.000626445327364558,2019,253
2019-09-11,15587,22173561,0.000702954297688134,0.00064439429669005,2019,254
2019-09-12,15653,22149590,0.000706694796607973,0.0006596557143725,2019,255
2019-09-13,18453,22140315,0.000833456976560632,0.000674682962780923,2019,256
2019-09-14,17426,21415685,0.000813702666993841,0.000684852838416597,2019,257
2019-09-15,12665,21167231,0.00059833050435364,0.000694929313809722,2019,258
2019-09-16,13133,21541900,0.000609649102446859,0.00069852848806716,2019,259
2019-09-17,13478,21374314,0.000630569944841271,0.000699336898498907,2019,260
2019-09-18,14094,21844429,0.000645198828497646,0.00069108611718598,2019,261
2019-09-19,14780,22134063,0.000667749070742231,0.000685522442062303,2019,262
2019-09-20,16230,21575534,0.000752240941058516,0.000673920151276286,2019,263
2019-09-21,16634,20744374,0.000801855963453031,0.00067222776505617,2019,264
2019-09-22,12108,20946255,0.000578050825792009,0.000669330668118795,2019,265
2019-09-23,12234,21187516,0.000577415493161161,0.000664725866792266,2019,266
2019-09-24,12788,21036749,0.000607888604840986,0.000661485675363654,2019,267
2019-09-25,13748,20655900,0.000665572548279184,0.000664396206761017,2019,268
2019-09-26,13394,20163414,0.000664272429262227,0.000663899543692445,2019,269
2019-09-27,15110,20146021,0.000750024037004627,0.000663582843113318,2019,270
2019-09-28,14816,19787289,0.00074876351176758,0.000655998207158254,2019,271
2019-09-29,10268,19715105,0.000520818935531918,0.000647822222835383,2019,272
2019-09-30,9680,20291604,0.000477044594404661,0.000633483523013026,2019,273
2019-10-01,11905,22337299,0.000532965064397446,0.00062278016009252,2019,274
2019-10-02,11805,21848136,0.000540320693719592,0.000604887038012579,2019,275
2019-10-03,11903,20018514,0.000594599579169563,0.000594933773713627,2019,276
2019-10-04,14115,20284281,0.000695859025025339,0.000587195914859443,2019,277
2019-10-05,14018,19831976,0.000706838289840609,0.000581206597441304,2019,278
2019-10-06,9746,19832929,0.000491404976037579,0.000577004603227827,2019,279
2019-10-07,10836,20232889,0.000535563655788355,0.000585364469139783,2019,280
2019-10-08,11884,20074466,0.000591995821956111,0.000593797434505307,2019,281
2019-10-09,11069,16639202,0.000665236229477832,0.000611642511042198,2019,282
2019-10-10,11660,16071009,0.000725530052282343,0.000630346864344024,2019,283
2019-10-11,13815,16699087,0.000827290737511578,0.000649122823270629,2019,284
2019-10-12,13433,15881863,0.000845807573078801,0.000668975578018943,2019,285
